,Quarter,Tm,Detail,NYJ,NWE
0,2.0,Jets,Pat Leahy 30 yard field goal,3,0
1,2.0,Jets,Richard Todd 7 yard rush (Pat Leahy kick),10,0
2,3.0,Jets,Mike Augustyniak 6 yard rush (Pat Leahy kick),17,0
3,3.0,Patriots,Ricky Smith 98 yard kickoff return (Rex Robinson kick),17,7
4,4.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),24,7
5,4.0,Jets,Scott Dierking 13 yard pass from Richard Todd (Pat Leahy kick),31,7
