,Quarter,Tm,Detail,GNB,PRV
0,1.0,Steam Roller,Cy Wentworth 20 yard rush (Red Maloney kick),0,7
1,3.0,Packers,Eddie Kotal 60 yard interception return,6,7
2,4.0,Steam Roller,Jim Laird 37 yard field goal,6,10
3,4.0,Packers,Jim Crowley 3 yard pass from Charlie Mathys (George Abramson kick),13,10
