,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,7:41,Giants,Lawrence Tynes 28 yard field goal,0,3
1,2.0,10:10,Giants,Mario Manningham 30 yard pass from Eli Manning (Lawrence Tynes kick),0,10
2,2.0,2:11,Giants,Osi Umenyiora 37 yard defensive fumble return (Lawrence Tynes kick),0,17
3,2.0,0:21,Redskins,Hunter Smith 8 yard rush (Shaun Suisham kick),7,17
4,3.0,0:50,Redskins,Shaun Suisham 27 yard field goal,10,17
5,4.0,11:03,Giants,Lawrence Tynes 45 yard field goal,10,20
6,4.0,3:12,Giants,Lawrence Tynes 28 yard field goal,10,23
7,4.0,1:30,Redskins,Chris Cooley 17 yard pass from Jason Campbell (Shaun Suisham kick),17,23
