,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,6:19,Panthers,Steve Smith 9 yard pass from Jake Delhomme (John Kasay kick),0,7
1,2.0,4:05,Saints,John Carney 31 yard field goal,3,7
2,4.0,13:33,Saints,Deuce McAllister 3 yard rush (John Carney kick),10,7
3,4.0,7:15,Panthers,Drew Carter 4 yard pass from Jake Delhomme (John Kasay kick),10,14
4,4.0,1:45,Panthers,DeShaun Foster 43 yard rush (John Kasay kick),10,21
5,4.0,1:15,Saints,Marques Colston 86 yard pass from Drew Brees (Joe Horn pass from Drew Brees),18,21
