,Quarter,Tm,Detail,FRN,GNB
0,1,Packers,"Safety, blocked punt rolled out of endzone",0,2
1,2,Packers,Johnny Blood 9 yard pass from Roger Grove,0,8
2,3,Packers,Johnny Blood 19 yard rush (Roger Grove kick),0,15
