,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,Paul Robinson 10 yard rush (Horst Muhlmann kick),0,7
1,2.0,Browns,Don Cockroft 35 yard field goal,3,7
2,2.0,Bengals,Horst Muhlmann 12 yard field goal,3,10
3,2.0,Browns,Don Cockroft 22 yard field goal,6,10
4,3.0,Bengals,Essex Johnson 3 yard rush (Horst Muhlmann kick),6,17
5,3.0,Browns,Bo Scott 3 yard rush (Don Cockroft kick),13,17
6,4.0,Bengals,Essex Johnson 49 yard rush (Horst Muhlmann kick),13,24
7,4.0,Browns,Bo Scott 7 yard pass from Bill Nelsen (Don Cockroft kick),20,24
8,4.0,Browns,Bo Scott 4 yard rush (Don Cockroft kick),27,24
