,Quarter,Tm,Detail,RCH,POT
0,2.0,Maroons,Tony Latone 1 yard rush (Charlie Berry kick),0,7
1,2.0,Jeffersons,Shag Sheard 20 yard pass from Lou Smyth,6,7
2,3.0,Maroons,Jack Ernst 12 yard rush (Charlie Berry kick),6,14
