,Quarter,Tm,Detail,DET,NYG
0,1.0,Giants,Stephen Baker 33 yard pass from Phil Simms (Matt Bahr kick),0,7
1,2.0,Giants,Matt Bahr 24 yard field goal,0,10
2,2.0,Giants,Mark Ingram 57 yard pass from Phil Simms (Matt Bahr kick),0,17
3,2.0,Giants,Matt Bahr 49 yard field goal,0,20
