,Quarter,Tm,Detail,DAY,FRN
0,1.0,Yellow Jackets,Les Haws 1 yard rush (Jim Welsh kick),0,7
1,1.0,Yellow Jackets,Jack Storer unknown yard rush,0,13
2,2.0,Yellow Jackets,Tex Hamer 13 yard rush,0,19
3,3.0,Yellow Jackets,Charlie Way unknown yard rush (Jim Welsh kick),0,26
4,3.0,Yellow Jackets,Charlie Way 7 yard rush,0,32
5,4.0,Triangles,Glenn Tidd 37 yard interception return (Russ Hathaway kick),7,32
