,Quarter,Tm,Detail,CRD,RAM
0,1.0,Rams,Jim Benton blocked punt recovery in end zone (Vic Spadaccini kick),0,7
1,1.0,Rams,Doug Russell 44 yard pass from Parker Hall (Vic Spadaccini kick),0,14
