,Quarter,Time,Tm,Detail,ATL,NYJ
0,1.0,,Jets,Curtis Martin 2 yard rush (John Hall kick),0,7
1,2.0,,Jets,Jerome Henderson 53 yard defensive fumble return (John Hall kick),0,14
2,2.0,0:01,Falcons,Morten Andersen 53 yard field goal,3,14
3,3.0,0:01,Jets,Keyshawn Johnson 12 yard pass from Vinny Testaverde (John Hall kick),3,21
4,3.0,0:01,Jets,Keith Byars 22 yard pass from Vinny Testaverde (John Hall kick),3,28
