,Quarter,Time,Tm,Detail,NOR,ARI
0,1.0,12:27,Cardinals,Kerwynn Williams 49 yard rush (Chandler Catanzaro kick),0,7
1,1.0,5:27,Saints,Wil Lutz 37 yard field goal,3,7
2,1.0,1:33,Saints,Travaris Cadet 10 yard pass from Drew Brees (Wil Lutz kick),10,7
3,2.0,7:08,Cardinals,Calais Campbell 53 yard defensive fumble return (Chandler Catanzaro kick failed),10,13
4,2.0,6:11,Saints,Brandin Cooks 65 yard pass from Drew Brees (Wil Lutz kick),17,13
5,2.0,1:51,Saints,Brandin Cooks 45 yard pass from Drew Brees (Wil Lutz kick),24,13
6,2.0,0:40,Cardinals,JJ Nelson 10 yard pass from Carson Palmer (Chandler Catanzaro kick),24,20
7,3.0,6:06,Saints,Wil Lutz 39 yard field goal,27,20
8,3.0,3:19,Cardinals,David Johnson 2 yard rush (Chandler Catanzaro kick),27,27
9,4.0,12:59,Saints,Tim Hightower 3 yard rush (Wil Lutz kick),34,27
10,4.0,8:57,Cardinals,David Johnson 7 yard rush (Chandler Catanzaro kick),34,34
11,4.0,5:33,Saints,Michael Thomas 4 yard pass from Drew Brees (Wil Lutz kick),41,34
12,4.0,3:27,Saints,Tim Hightower 2 yard rush (Wil Lutz kick),48,34
13,4.0,2:19,Cardinals,John Brown 30 yard pass from Carson Palmer (Chandler Catanzaro kick),48,41
