,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Rodney Holman 19 yard pass from Boomer Esiason (Jim Breech kick),7,0
1,1.0,Browns,Jerry Kauric 21 yard field goal,7,3
2,2.0,Bengals,James Brooks 28 yard rush (Jim Breech kick),14,3
3,2.0,Bengals,Jim Breech 20 yard field goal,17,3
4,2.0,Browns,Jerry Kauric 30 yard field goal,17,6
5,2.0,Browns,Leroy Hoard 1 yard rush (Jerry Kauric kick),17,13
6,3.0,Bengals,Jim Breech 21 yard field goal,20,13
7,4.0,Bengals,Michael Barber 2 yard pass from Boomer Esiason (Jim Breech kick),27,13
8,4.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),34,13
