,Quarter,Tm,Detail,BAL,DET
0,1.0,Colts,Curtis Dickey 1 yard rush (Steve Mike-Mayer kick),7,0
1,2.0,Colts,Steve Mike-Mayer 43 yard field goal,10,0
2,3.0,Lions,Eddie Murray 47 yard field goal,10,3
3,4.0,Lions,Eddie Murray 24 yard field goal,10,6
4,4.0,Lions,Eddie Murray 46 yard field goal,10,9
