,Quarter,Tm,Detail,CIN,HOU
0,2.0,Bengals,Lenvil Elliott 10 yard pass from Ken Anderson (Dave Green kick),7,0
1,2.0,Oilers,Fred Willis 1 yard rush (Skip Butler kick),7,7
2,2.0,Oilers,Skip Butler 37 yard field goal,7,10
3,3.0,Oilers,Billy Johnson 63 yard punt return (Skip Butler kick),7,17
4,4.0,Bengals,Stan Fritts 17 yard pass from Ken Anderson (Dave Green kick),14,17
5,4.0,Bengals,Isaac Curtis 6 yard pass from Ken Anderson (Dave Green kick),21,17
6,4.0,Oilers,"Safety, Bethea tackled Anderson in end zone",21,19
