,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),0,7
1,1.0,Jets,Johnny Johnson 6 yard rush (Cary Blanchard kick),0,14
2,2.0,Jets,Brad Baxter 4 yard rush (Cary Blanchard kick),0,21
3,2.0,Jets,James Thornton 13 yard pass from Boomer Esiason (Cary Blanchard kick),0,28
4,2.0,Jets,Terance Mathis 17 yard rush (Cary Blanchard kick),0,35
5,4.0,Jets,Cary Blanchard 42 yard field goal,0,38
6,4.0,Jets,Adrian Murrell 37 yard rush (Cary Blanchard kick),0,45
7,4.0,Patriots,Leonard Russell 5 yard rush (Scott Sisson kick),7,45
