,Quarter,Tm,Detail,NYG,GNB
0,1.0,Packers,Willard Harrell 36 yard pass from John Hadl (Joe Danelo kick),0,7
1,1.0,Packers,Eric Torkelson 2 yard rush (Joe Danelo kick),0,14
2,2.0,Packers,Joe Danelo 28 yard field goal,0,17
3,2.0,Packers,Steve Odom 23 yard pass from Willard Harrell (Joe Danelo kick),0,24
4,3.0,Giants,Walker Gillette 12 yard pass from Craig Morton (George Hunt kick),7,24
5,3.0,Giants,Doug Kotar 10 yard rush (George Hunt kick),14,24
6,4.0,Packers,"Safety, Jennings stepped out of end zone",14,26
7,4.0,Packers,Barty Smith 3 yard rush (Joe Danelo kick),14,33
8,4.0,Packers,Gerald Tinker 35 yard pass from John Hadl (Joe Danelo kick),14,40
