,Quarter,Tm,Detail,MIL,CHI
0,2.0,Bears,Dutch Sternaman unknown yard rush (Dutch Sternaman kick),0,7
1,2.0,Bears,Dutch Sternaman unknown yard rush (Dutch Sternaman kick),0,14
2,2.0,Badgers,Evar Swanson unknown yard pass from Red Dunn (Red Dunn kick),7,14
3,3.0,Bears,Joey Sternaman 26 yard field goal,7,17
4,4.0,Badgers,Clem Neacy unknown yard pass from Red Dunn (Red Dunn kick),14,17
5,4.0,Bears,Joey Sternaman unknown yard rush (Joey Sternaman kick),14,24
6,4.0,Bears,Johnny Bryan unknown yard rush (Joey Sternaman kick),14,31
