,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Ron Egloff 2 yard pass from Norris Weese (Jim Turner kick),0,7
1,2.0,Chargers,Dan Fouts 3 yard rush (Rolf Benirschke kick),7,7
2,2.0,Chargers,John Jefferson 20 yard pass from Dan Fouts (Rolf Benirschke kick),14,7
3,3.0,Broncos,Lonnie Perrin 1 yard rush,14,13
4,4.0,Broncos,Rick Upchurch 75 yard punt return (Jim Turner kick),14,20
5,4.0,Broncos,Lonnie Perrin 21 yard rush (Jim Turner kick),14,27
