,Quarter,Time,Tm,Detail,DEN,DET
0,2.0,4:54,Broncos,Ronnie Hillman 1 yard rush (Brandon McManus kick),7,0
1,2.0,1:03,Lions,Joique Bell 1 yard rush (Matt Prater kick failed),7,6
2,2.0,0:05,Broncos,Demaryius Thomas 45 yard pass from Peyton Manning (Brandon McManus kick),14,6
3,3.0,10:51,Lions,Ameer Abdullah 16 yard pass from Matthew Stafford,14,12
4,4.0,7:50,Broncos,Brandon McManus 48 yard field goal,17,12
5,4.0,2:28,Broncos,Owen Daniels 11 yard pass from Peyton Manning (Brandon McManus kick),24,12
