,Quarter,Tm,Detail,NWE,NYG
0,1.0,Giants,Ron Johnson 21 yard pass from Norm Snead (Pete Gogolak kick),0,7
1,1.0,Patriots,Mack Herron 12 yard pass from Jim Plunkett (John Smith kick),7,7
2,2.0,Giants,Joe Dawkins 1 yard rush (Pete Gogolak kick),7,14
3,2.0,Patriots,Randy Vataha 38 yard pass from Jim Plunkett (John Smith kick),14,14
4,3.0,Patriots,Sam Cunningham 14 yard pass from Jim Plunkett (John Smith kick),21,14
5,4.0,Patriots,Mack Herron 4 yard rush (John Smith kick),28,14
6,4.0,Giants,Ron Johnson 9 yard pass from Norm Snead,28,20
