,Quarter,Time,Tm,Detail,CAR,BUF
0,1.0,10:08,Panthers,John Kasay 37 yard field goal,3,0
1,1.0,4:24,Bills,Shayne Graham 20 yard field goal,3,3
2,2.0,10:27,Panthers,Chris Weinke 1 yard rush (John Kasay kick),10,3
3,2.0,8:05,Panthers,Richard Huntley 2 yard rush (John Kasay kick),17,3
4,2.0,3:48,Bills,Shayne Graham 27 yard field goal,17,6
5,2.0,0:36,Panthers,Kris Mangum 2 yard pass from Chris Weinke (John Kasay kick),24,6
6,2.0,0:01,Bills,Peerless Price 7 yard pass from Alex Van Pelt (Shayne Graham kick),24,13
7,3.0,5:39,Bills,Brandon Spoon 44 yard interception return (pass failed),24,19
8,4.0,7:51,Bills,Travis Henry 1 yard rush (pass failed),24,25
