,Quarter,Tm,Detail,AKR,CHI
0,1,Bears,Dutch Sternaman 11 yard pass from Johnny Bryan (Dutch Sternaman kick),0,7
1,2,Bears,Duke Hanny 35 yard pass from Johnny Bryan (Dutch Sternaman kick),0,14
2,3,Pros,Wayne Brenkert 3 yard rush,6,14
3,4,Bears,Johnny Bryan unknown yard rush,6,20
