,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Scott Norwood 30 yard field goal,3,0
1,1.0,Bills,Andre Reed 65 yard pass from Jim Kelly (Scott Norwood kick),10,0
2,1.0,Bills,Flip Johnson 66 yard pass from Jim Kelly (Scott Norwood kick),17,0
3,2.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),24,0
4,2.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),24,7
5,2.0,Bills,Andre Reed 16 yard pass from Jim Kelly (Scott Norwood kick),31,7
6,3.0,Bills,Scott Norwood 34 yard field goal,34,7
7,3.0,Jets,Erik McMillan 40 yard interception return (Pat Leahy kick),34,14
8,4.0,Bills,Scott Norwood 28 yard field goal,37,14
