,Quarter,Time,Tm,Detail,DAL,MIN
0,1,6:33,Cowboys,Michael Irvin 19 yard pass from Troy Aikman,6,0
1,1,6:33,Vikings,Fuad Reveiz 42 yard field goal,6,3
2,2,6:33,Vikings,Jake Reed 3 yard pass from Warren Moon (Fuad Reveiz kick),6,10
3,2,6:33,Cowboys,Chris Boniol 39 yard field goal,9,10
4,4,6:33,Cowboys,Emmitt Smith 2 yard rush (Jay Novacek pass from Troy Aikman),17,10
5,4,6:33,Vikings,Cris Carter 8 yard pass from Warren Moon (Fuad Reveiz kick),17,17
6,OT,6:33,Cowboys,Emmitt Smith 31 yard rush,23,17
