,Quarter,Tm,Detail,STL,ATL
0,1.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),7,0
1,2.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),14,0
2,2.0,Falcons,Alfred Jenkins 23 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,7
3,2.0,Falcons,Mick Luckhurst 24 yard field goal,14,10
4,2.0,Falcons,Lynn Cain 33 yard rush (Mick Luckhurst kick),14,17
5,2.0,Falcons,Mick Luckhurst 37 yard field goal,14,20
6,3.0,Cardinals,Neil O'Donoghue 26 yard field goal,17,20
7,3.0,Falcons,Alfred Jenkins 45 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,27
8,3.0,Cardinals,Neil O'Donoghue 22 yard field goal,20,27
9,4.0,Falcons,William Andrews 18 yard pass from Steve Bartkowski (Mick Luckhurst kick),20,34
10,4.0,Falcons,William Andrews 70 yard pass from Steve Bartkowski (Mick Luckhurst kick),20,41
