,Quarter,Time,Tm,Detail,NWE,DEN
0,1.0,10:51,Broncos,Clinton Portis 15 yard rush (Jason Elam kick),0,7
1,1.0,5:55,Patriots,Deion Branch 66 yard pass from Tom Brady (Adam Vinatieri kick),7,7
2,2.0,11:29,Broncos,Jason Elam 43 yard field goal,7,10
3,2.0,7:57,Patriots,Adam Vinatieri 40 yard field goal,10,10
4,2.0,0:24,Broncos,Mike Anderson 1 yard pass from Danny Kanell (Micah Knorr kick),10,17
5,2.0,0:01,Patriots,Adam Vinatieri 46 yard field goal,13,17
6,3.0,5:57,Patriots,Daniel Graham 6 yard pass from Tom Brady (Adam Vinatieri kick),20,17
7,3.0,3:13,Broncos,Deltha O'Neal 57 yard punt return (Micah Knorr kick),20,24
8,4.0,11:08,Patriots,Adam Vinatieri 28 yard field goal,23,24
9,4.0,2:49,Broncos,"Safety,",23,26
10,4.0,0:30,Patriots,David Givens 18 yard pass from Tom Brady (Adam Vinatieri kick),30,26
