,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,,Falcons,Eric Metcalf 15 yard pass from Jeff George (Morten Andersen kick),7,0
1,1.0,,Falcons,Craig Heyward 5 yard pass from Jeff George (Morten Andersen kick),14,0
2,2.0,,Panthers,Kerry Collins 1 yard rush (John Kasay kick),14,7
3,2.0,,Falcons,Morten Andersen 34 yard field goal,17,7
4,3.0,,Panthers,Derrick Moore 1 yard rush (John Kasay kick),17,14
5,4.0,,Panthers,Willie Green 89 yard pass from Kerry Collins (John Kasay kick),17,21
