,Quarter,Tm,Detail,WAS,CRD
0,1.0,Cardinals,Emmett King 17 yard pass from Steve Romanik (Pat Summerall kick),0,7
1,1.0,Redskins,Hugh Taylor 14 yard pass from Jack Scarbath (Vic Janowicz kick),7,7
2,2.0,Cardinals,Ollie Matson 5 yard pass from Lamar McHan (Pat Summerall kick),7,14
3,2.0,Redskins,Billy Wells 88 yard rush (Vic Janowicz kick),14,14
4,2.0,Cardinals,Pat Summerall 37 yard field goal,14,17
5,3.0,Cardinals,Ollie Matson 62 yard rush (Pat Summerall kick),14,24
6,3.0,Cardinals,Ollie Matson 15 yard rush (Pat Summerall kick),14,31
7,3.0,Redskins,"Safety, Olszewski tackled by Modzelewski in end zone",16,31
8,4.0,Cardinals,Ollie Matson 79 yard rush (Pat Summerall kick),16,38
