,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Danny Villanueva 24 yard field goal,3,0
1,1.0,Colts,Lenny Moore 38 yard rush (Steve Myhra kick),3,7
2,1.0,Rams,Zeke Bratkowski 5 yard rush (Danny Villanueva kick),10,7
3,2.0,Colts,Steve Myhra 22 yard field goal,10,10
4,2.0,Rams,Carroll Dale 52 yard pass from Zeke Bratkowski (Danny Villanueva kick),17,10
5,2.0,Rams,Duane Allen 32 yard pass from Zeke Bratkowski (Danny Villanueva kick),24,10
6,2.0,Colts,Lenny Moore 2 yard pass from Johnny Unitas (Steve Myhra kick),24,17
7,3.0,Colts,Johnny Unitas 8 yard rush (Steve Myhra kick),24,24
8,4.0,Colts,Steve Myhra 39 yard field goal,24,27
