,Quarter,Tm,Detail,OAK,KAN
0,1,Chiefs,Jan Stenerud 50 yard field goal,0,3
1,2,Chiefs,Jan Stenerud 27 yard field goal,0,6
2,4,Raiders,Cliff Branch 10 yard pass from Daryle Lamonica (George Blanda kick),7,6
