,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,9:11,Packers,Antonio Freeman 21 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,10:57,Buccaneers,Martin Gramatica 33 yard field goal,3,7
2,2.0,2:02,Buccaneers,Dave Moore 11 yard pass from Brad Johnson (Martin Gramatica kick),10,7
3,3.0,9:53,Buccaneers,Mike Alstott 19 yard pass from Brad Johnson (Martin Gramatica kick),17,7
4,3.0,4:40,Packers,Ahman Green 63 yard rush (Ryan Longwell kick),17,14
5,4.0,6:42,Buccaneers,Martin Gramatica 49 yard field goal,20,14
6,4.0,3:03,Packers,Allen Rossum 55 yard punt return (Ryan Longwell kick),20,21
