,Quarter,Tm,Detail,BKN,CHI
0,1.0,Bears,Bob Snyder 24 yard field goal,0,3
1,1.0,Bears,George Wilson 28 yard pass from Sid Luckman,0,9
2,2.0,Bears,Bob Snyder 37 yard field goal,0,12
3,2.0,Bears,Dante Magnani 79 yard rush (Bob Snyder kick),0,19
4,3.0,Bears,George Wilson 18 yard pass from Sid Luckman (Bob Snyder kick),0,26
5,3.0,Dodgers,Cecil Johnson 25 yard pass from Ken Heineman (Bruiser Kinard kick),7,26
6,4.0,Dodgers,Pug Manders 1 yard rush (Bruiser Kinard kick),14,26
7,4.0,Bears,Ray McLean 7 yard rush (Bob Snyder kick),14,33
8,4.0,Dodgers,Cecil Johnson 57 yard pass from Frank Sachse (Bruiser Kinard kick),21,33
