,Quarter,Time,Tm,Detail,NOR,PIT
0,1.0,11:56,Steelers,Hines Ward 37 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
1,1.0,6:49,Steelers,Heath Miller 2 yard pass from Ben Roethlisberger (Jeff Reed kick),0,14
2,1.0,0:43,Saints,Terrance Copper 3 yard pass from Drew Brees (John Carney kick),7,14
3,2.0,8:22,Saints,John Carney 20 yard field goal,10,14
4,2.0,2:22,Saints,Reggie Bush 15 yard rush (John Carney kick),17,14
5,2.0,1:20,Steelers,Jeff Reed 32 yard field goal,17,17
6,2.0,0:20,Saints,Deuce McAllister 4 yard rush (John Carney kick),24,17
7,3.0,6:55,Steelers,Cedrick Wilson 38 yard pass from Ben Roethlisberger (Jeff Reed kick),24,24
8,4.0,14:55,Steelers,Willie Parker 3 yard rush (Jeff Reed kick),24,31
9,4.0,9:55,Steelers,Willie Parker 4 yard rush (Jeff Reed kick),24,38
10,4.0,8:05,Saints,Deuce McAllister 4 yard offensive fumble return (John Carney kick),31,38
