,Quarter,Time,Tm,Detail,ARI,BAL
0,1.0,8:12,Ravens,Mark Andrews 27 yard pass from Lamar Jackson (Justin Tucker kick),0,7
1,1.0,2:21,Cardinals,Zane Gonzalez 22 yard field goal,3,7
2,2.0,14:11,Ravens,Justin Tucker 33 yard field goal,3,10
3,2.0,8:34,Cardinals,Zane Gonzalez 21 yard field goal,6,10
4,2.0,3:53,Ravens,Hayden Hurst 1 yard pass from Lamar Jackson (Justin Tucker kick),6,17
5,3.0,9:02,Cardinals,Zane Gonzalez 21 yard field goal,9,17
6,4.0,15:00,Ravens,Justin Tucker 28 yard field goal,9,20
7,4.0,12:54,Cardinals,David Johnson 1 yard rush (KeeSean Johnson pass from Kyler Murray ),17,20
8,4.0,9:02,Ravens,Justin Tucker 51 yard field goal,17,23
