,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Fuad Reveiz 31 yard field goal,3,0
1,2.0,Bills,Scott Norwood 41 yard field goal,3,3
2,3.0,Dolphins,Fuad Reveiz 27 yard field goal,6,3
3,4.0,Bills,Scott Norwood 35 yard field goal,6,6
4,4.0,Bills,Scott Norwood 28 yard field goal,6,9
