,Quarter,Tm,Detail,KAN,MIA
0,3.0,Dolphins,Bruce Hardy 9 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,3.0,Dolphins,Woody Bennett 27 yard pass from Dan Marino (Fuad Reveiz kick),0,14
2,4.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),0,21
3,4.0,Dolphins,Ron Davenport 3 yard rush (Fuad Reveiz kick),0,28
4,4.0,Dolphins,Fuad Reveiz 37 yard field goal,0,31
