,Quarter,Tm,Detail,PIT,MIA
0,1.0,Steelers,David Trout 23 yard field goal,3,0
1,2.0,Dolphins,David Woodley 1 yard rush,3,6
2,2.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),3,13
3,2.0,Steelers,Jim Smith 32 yard pass from Terry Bradshaw (David Trout kick),10,13
4,3.0,Dolphins,Tony Nathan 13 yard pass from David Woodley (Uwe von Schamann kick),10,20
5,3.0,Dolphins,Tommy Vigorito 87 yard punt return (Uwe von Schamann kick),10,27
6,4.0,Dolphins,Uwe von Schamann 32 yard field goal,10,30
