,Quarter,Tm,Detail,RAM,CLE
0,1.0,Browns,Lew Carpenter 23 yard rush (Lou Groza kick),0,7
1,2.0,Rams,Elroy Hirsch 14 yard pass from Norm Van Brocklin (Paige Cothren kick),7,7
2,2.0,Browns,Jim Brown 69 yard rush (Lou Groza kick),7,14
3,2.0,Rams,Tommy Wilson 1 yard rush (Paige Cothren kick),14,14
4,2.0,Rams,Elroy Hirsch 20 yard pass from Norm Van Brocklin (Paige Cothren kick),21,14
5,2.0,Browns,Lou Groza 48 yard field goal,21,17
6,3.0,Rams,Art Hauser 29 yard fumble return (Paige Cothren kick),28,17
7,3.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),28,24
8,3.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),28,31
9,4.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),28,38
10,4.0,Rams,Paige Cothren 42 yard field goal,31,38
11,4.0,Browns,Lew Carpenter 1 yard rush (Lou Groza kick),31,45
