,Quarter,Tm,Detail,CRD,SFO
0,1.0,Cardinals,Johnny Olszewski 2 yard rush (Pat Summerall kick),7,0
1,1.0,49ers,Gordie Soltau 35 yard field goal,7,3
2,2.0,49ers,Dicky Moegle 18 yard rush (Gordie Soltau kick),7,10
3,2.0,Cardinals,Joe Childress 39 yard rush (Pat Summerall kick),14,10
4,3.0,Cardinals,Pat Summerall 14 yard field goal,17,10
5,4.0,Cardinals,Pat Summerall 18 yard field goal,20,10
