,Quarter,Time,Tm,Detail,DET,CAR
0,1.0,6:49,Panthers,John Kasay 21 yard field goal,0,3
1,2.0,9:33,Lions,Sedrick Irvin 1 yard rush (Jason Hanson kick),7,3
2,2.0,4:47,Lions,Jason Hanson 29 yard field goal,10,3
3,2.0,0:20,Panthers,John Kasay 30 yard field goal,10,6
4,3.0,11:19,Panthers,John Kasay 23 yard field goal,10,9
5,3.0,7:08,Lions,David Sloan 22 yard pass from Charlie Batch (Jason Hanson kick),17,9
6,3.0,3:13,Lions,Brian Stablein 4 yard pass from Charlie Batch (Jason Hanson kick),24,9
