,Quarter,Tm,Detail,DEN,OAK
0,1.0,Broncos,Jon Keyworth 30 yard rush (Jim Turner kick),7,0
1,1.0,Raiders,George Blanda 21 yard field goal,7,3
2,2.0,Broncos,Jim Turner 30 yard field goal,10,3
3,2.0,Raiders,Fred Biletnikoff 34 yard pass from Ken Stabler (George Blanda kick),10,10
4,3.0,Broncos,Jim Turner 33 yard field goal,13,10
5,3.0,Broncos,Jerry Simmons 8 yard pass from Steve Ramsey (Jim Turner kick),20,10
6,4.0,Raiders,Fred Biletnikoff 7 yard pass from Ken Stabler (George Blanda kick),20,17
