,Quarter,Tm,Detail,NYG,NOR
0,1.0,Giants,Maurice Tyler special teams fumble recovery in end zone (Joe Danelo kick),7,0
1,2.0,Giants,Joe Danelo 50 yard field goal,10,0
2,2.0,Saints,Chuck Muncie 1 yard rush (Steve Mike-Mayer kick),10,7
3,2.0,Giants,Larry Csonka 1 yard rush (Joe Danelo kick),17,7
4,3.0,Saints,Henry Childs 1 yard pass from Archie Manning (Steve Mike-Mayer kick),17,14
5,4.0,Saints,Tony Galbreath 20 yard rush (Steve Mike-Mayer kick),17,21
6,4.0,Saints,Henry Childs 3 yard pass from Archie Manning (Steve Mike-Mayer kick),17,28
