,Quarter,Tm,Detail,MIN,DET
0,2.0,Vikings,Rich Gannon 1 yard rush (Fuad Reveiz kick),7,0
1,3.0,Vikings,Fuad Reveiz 27 yard field goal,10,0
2,3.0,Lions,Jeff Campbell 18 yard pass from Bob Gagliano (Rich Karlis kick),10,7
3,4.0,Vikings,Al Noga 26 yard interception return (Fuad Reveiz kick),17,7
