,Quarter,Tm,Detail,ATL,SEA
0,1.0,Seahawks,Steve Largent 12 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,2.0,Falcons,Mick Luckhurst 25 yard field goal,3,7
2,2.0,Falcons,Mick Luckhurst 52 yard field goal,6,7
3,3.0,Falcons,Mick Luckhurst 48 yard field goal,9,7
4,3.0,Seahawks,"Charle Young 32 yard pass from Dave Krieg (kick failed, Steve Largent XP)",9,14
5,4.0,Seahawks,Byron Walker 24 yard pass from Dave Krieg (Norm Johnson kick),9,21
6,4.0,Falcons,Billy Johnson 12 yard pass from David Archer (Mick Luckhurst kick),16,21
7,4.0,Falcons,Anthony Allen 37 yard pass from David Archer (Mick Luckhurst kick),23,21
8,4.0,Falcons,Mick Luckhurst 40 yard field goal,26,21
9,4.0,Seahawks,Paul Skansi 12 yard pass from Dave Krieg (Norm Johnson kick),26,28
10,4.0,Seahawks,"Safety, fumble rolled out of end zone",26,30
