,Quarter,Tm,Detail,KAN,AKR
0,1,Pros,Fanny Niehaus 12 yard rush (Knute Caldwell kick),0,7
1,2,Pros,Fritz Pollard unknown yard rush (Knute Caldwell kick),0,14
2,3,Cowboys,Charley Hill unknown yard rush (Phil White kick),7,14
