,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,8:15,Bills,Takeo Spikes 11 yard interception return (Rian Lindell kick),0,7
1,2.0,12:49,Dolphins,Matt Bryant 47 yard field goal,3,7
2,2.0,0:52,Dolphins,Derrius Thompson 24 yard pass from Jay Fiedler (Matt Bryant kick),10,7
3,3.0,11:18,Bills,Rian Lindell 43 yard field goal,10,10
4,3.0,7:43,Bills,Mark Campbell 5 yard pass from Drew Bledsoe (Rian Lindell kick),10,17
5,4.0,14:57,Dolphins,Matt Bryant 28 yard field goal,13,17
6,4.0,7:57,Bills,Rian Lindell 20 yard field goal,13,20
