,Quarter,Tm,Detail,PHI,NWE
0,1.0,Patriots,Don Calhoun 4 yard rush (David Posey kick),0,7
1,1.0,Patriots,David Posey 42 yard field goal,0,10
2,2.0,Patriots,Sam Cunningham 1 yard rush (David Posey kick),0,17
3,2.0,Eagles,Harold Carmichael 28 yard pass from Ron Jaworski (Nick Mike-Mayer kick),7,17
4,3.0,Patriots,Stanley Morgan 58 yard pass from Steve Grogan (David Posey kick),7,24
5,3.0,Eagles,John Sciarra 1 yard rush (Nick Mike-Mayer kick),14,24
