,Quarter,Tm,Detail,RAM,WAS
0,1.0,Rams,Jerry Williams 7 yard interception return (Bob Waterfield kick),7,0
1,1.0,Redskins,Rob Goode 1 yard rush (Bill Dudley kick),7,7
2,2.0,Redskins,Rob Goode 3 yard rush (Bill Dudley kick),7,14
3,2.0,Redskins,Hugh Taylor 24 yard pass from Sammy Baugh (Bill Dudley kick),7,21
4,3.0,Redskins,Bill Dudley 23 yard field goal,7,24
5,3.0,Redskins,Bill Dudley 9 yard pass from Sammy Baugh (Bill Dudley kick),7,31
6,4.0,Rams,Elroy Hirsch 3 yard pass from Bob Waterfield (Bob Waterfield kick),14,31
7,4.0,Rams,Bob Boyd 28 yard pass from Bob Waterfield (Bob Waterfield kick),21,31
