,Quarter,Time,Tm,Detail,KAN,BUF
0,1.0,,Chiefs,Pete Stoyanovich 19 yard field goal,3,0
1,2.0,,Chiefs,Pete Stoyanovich 24 yard field goal,6,0
2,2.0,,Bills,Steve Christie 41 yard field goal,6,3
3,3.0,,Chiefs,Pete Stoyanovich 26 yard field goal,9,3
4,3.0,,Bills,Steve Christie 42 yard field goal,9,6
5,4.0,,Bills,Tony Cline 4 yard pass from Jim Kelly (Steve Christie kick),9,13
6,4.0,,Bills,Quinn Early 4 yard pass from Jim Kelly (Steve Christie kick),9,20
