,Quarter,Time,Tm,Detail,RAM,GNB
0,1.0,,Rams,Troy Drayton 2 yard pass from Chris Miller (Tony Zendejas kick),7,0
1,1.0,,Packers,Chris Jacke 25 yard field goal,7,3
2,2.0,,Rams,Troy Drayton 4 yard pass from Chris Miller (Tony Zendejas kick),14,3
3,2.0,,Rams,Tony Zendejas 37 yard field goal,17,3
4,3.0,,Packers,Sterling Sharpe 8 yard pass from Brett Favre (Chris Jacke kick),17,10
5,3.0,,Packers,Robert Brooks 85 yard punt return (Chris Jacke kick),17,17
6,4.0,,Packers,Edgar Bennett 1 yard rush (Chris Jacke kick),17,24
