,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Pat Leahy 36 yard field goal,3,0
1,1.0,Patriots,John Smith 30 yard field goal,3,3
2,2.0,Patriots,Darryl Stingley 11 yard pass from Steve Grogan (John Smith kick),3,10
3,2.0,Jets,Jerome Barkum 30 yard pass from Richard Todd (Pat Leahy kick),10,10
4,3.0,Patriots,Stanley Morgan 52 yard pass from Steve Grogan (John Smith kick),10,17
5,3.0,Patriots,Don Hasselbeck 4 yard pass from Steve Grogan (John Smith kick),10,24
6,4.0,Jets,Pat Leahy 21 yard field goal,13,24
