,Quarter,Tm,Detail,DET,PIT
0,1.0,Steelers,Gary Anderson 26 yard field goal,0,3
1,2.0,Steelers,Louis Lipps 12 yard pass from Mark Malone (Gary Anderson kick),0,10
2,2.0,Lions,Garry James 60 yard rush (Eddie Murray kick),7,10
3,2.0,Lions,Eddie Murray 30 yard field goal,10,10
4,3.0,Lions,Jeff Chadwick 1 yard pass from Joe Ferguson (Eddie Murray kick),17,10
5,3.0,Steelers,Earnest Jackson 1 yard rush (Gary Anderson kick),17,17
6,3.0,Steelers,Louis Lipps 39 yard pass from Mark Malone (Gary Anderson kick),17,24
7,4.0,Steelers,Gary Anderson 28 yard field goal,17,27
