,Quarter,Time,Tm,Detail,BUF,HOU
0,1,11:51,Bills,Josh Allen 16 yard pass from John Brown (Stephen Hauschka kick),7,0
1,2,10:52,Bills,Stephen Hauschka 40 yard field goal,10,0
2,2,0:09,Bills,Stephen Hauschka 40 yard field goal,13,0
3,3,6:08,Bills,Stephen Hauschka 38 yard field goal,16,0
4,3,1:41,Texans,Deshaun Watson 20 yard rush (Deshaun Watson run),16,8
5,4,11:00,Texans,Ka'imi Fairbairn 41 yard field goal,16,11
6,4,4:42,Texans,Carlos Hyde 5 yard pass from Deshaun Watson (DeAndre Hopkins pass from Deshaun Watson ),16,19
7,4,0:10,Bills,Stephen Hauschka 47 yard field goal,19,19
8,OT,3:23,Texans,Ka'imi Fairbairn 28 yard field goal,19,22
