,Quarter,Time,Tm,Detail,MIN,PIT
0,1.0,3:02,Steelers,Martavis Bryant 27 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
1,2.0,13:31,Steelers,JuJu Smith-Schuster 4 yard pass from Ben Roethlisberger (Chris Boswell kick),0,14
2,2.0,8:50,Vikings,Kai Forbath 42 yard field goal,3,14
3,3.0,12:19,Steelers,Chris Boswell 46 yard field goal,3,17
4,3.0,9:57,Vikings,C.J. Ham 1 yard rush (Kai Forbath kick failed),9,17
5,3.0,5:05,Steelers,Chris Boswell 29 yard field goal,9,20
6,4.0,3:18,Steelers,Chris Boswell 37 yard field goal,9,23
7,4.0,1:53,Steelers,Chris Boswell 43 yard field goal,9,26
