,Quarter,Tm,Detail,PHI,CRD
0,1.0,Cardinals,Charley Trippi 44 yard rush (Pat Harder kick),0,7
1,2.0,Cardinals,Elmer Angsman 70 yard rush (Pat Harder kick),0,14
2,2.0,Eagles,Pat McHugh 53 yard pass from Tommy Thompson (Cliff Patton kick),7,14
3,3.0,Cardinals,Charley Trippi 75 yard punt return (Pat Harder kick),7,21
4,3.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),14,21
5,4.0,Cardinals,Elmer Angsman 70 yard rush (Pat Harder kick),14,28
6,4.0,Eagles,Russ Craft 1 yard rush (Cliff Patton kick),21,28
