,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Jim Benton 17 yard pass from Bob Waterfield,6,0
1,3.0,Packers,Irv Comp 1 yard rush (Don Hutson kick),6,7
2,4.0,Packers,Ted Fritsch 3 yard rush (Don Hutson kick),6,14
3,4.0,Rams,Tom Colella 9 yard pass from Bob Waterfield (Bob Waterfield kick),13,14
4,4.0,Rams,Don Greenwood 1 yard rush (Bob Waterfield kick),20,14
5,4.0,Rams,Tom Colella 5 yard rush (Bob Waterfield kick),27,14
