,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,,Chargers,John Carney 27 yard field goal,3,0
1,2.0,,Chargers,Terrell Fletcher 5 yard pass from Stan Humphries (John Carney kick),10,0
2,2.0,,Chargers,Tony Martin 6 yard pass from Stan Humphries (John Carney kick),17,0
3,2.0,,Broncos,Shannon Sharpe 20 yard pass from John Elway (Jason Elam kick),17,7
4,3.0,,Broncos,Shannon Sharpe 20 yard pass from John Elway (Jason Elam kick),17,14
5,3.0,,Broncos,Shannon Sharpe 3 yard pass from John Elway (Jason Elam kick),17,21
6,4.0,,Broncos,Ed McCaffrey 9 yard pass from John Elway (Jason Elam kick),17,28
