,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Rich Houston 26 yard pass from Fran Tarkenton (Pete Gogolak kick),7,0
1,1.0,Steelers,Roy Gerela 25 yard field goal,7,3
2,2.0,Giants,Pete Gogolak 25 yard field goal,10,3
3,2.0,Steelers,John Rowser 70 yard interception return (Roy Gerela kick),10,10
4,2.0,Giants,Pete Gogolak 29 yard field goal,13,10
5,3.0,Steelers,Ron Shanklin 4 yard pass from Terry Bradshaw (Roy Gerela kick),13,17
