,Quarter,Tm,Detail,NWE,PIT
0,1.0,Steelers,Roy Gerela 19 yard field goal,0,3
1,1.0,Steelers,Jack Ham 32 yard interception return (Roy Gerela kick),0,10
2,2.0,Steelers,Ron Shanklin 30 yard pass from Terry Bradshaw (Roy Gerela kick),0,17
3,3.0,Steelers,Roy Gerela 22 yard field goal,0,20
4,3.0,Patriots,Charlie Gogolak 16 yard field goal,3,20
5,3.0,Steelers,Steve Davis 28 yard rush (Roy Gerela kick),3,27
6,3.0,Steelers,Roy Gerela 35 yard field goal,3,30
7,4.0,Steelers,Roy Gerela 33 yard field goal,3,33
