,Quarter,Tm,Detail,POT,PRV
0,2.0,Maroons,Hoot Flanagan unknown yard rush (Charlie Berry kick),7,0
1,2.0,Maroons,Hoot Flanagan unknown yard rush (Charlie Berry kick),14,0
2,4.0,Maroons,Tony Latone unknown yard rush (Charlie Berry kick),21,0
3,4.0,Maroons,Tony Latone unknown yard rush,27,0
4,4.0,Maroons,Barney Wentz unknown yard rush (Charlie Berry kick),34,0
