,Quarter,Tm,Detail,DET,PIT
0,1.0,Lions,Errol Mann 23 yard field goal,3,0
1,1.0,Steelers,Gene Mingo 27 yard field goal,3,3
2,2.0,Steelers,Gene Mingo 18 yard field goal,3,6
3,2.0,Steelers,Gene Mingo 40 yard field goal,3,9
4,3.0,Lions,Errol Mann 23 yard field goal,6,9
5,4.0,Lions,Earl McCullouch 12 yard pass from Bill Munson (Errol Mann kick),13,9
6,4.0,Steelers,Warren Bankston 6 yard rush (Gene Mingo kick),13,16
