,Quarter,Time,Tm,Detail,MIN,CAR
0,1.0,10:52,Panthers,Graham Gano 48 yard field goal,0,3
1,1.0,5:20,Panthers,Cam Newton 3 yard rush (Graham Gano kick),0,10
2,1.0,1:44,Vikings,"Safety, Danielle Hunter cam Newton sack in end zone",2,10
3,2.0,3:21,Vikings,Marcus Sherels 54 yard punt return (Blair Walsh kick failed),8,10
4,3.0,9:43,Vikings,Kyle Rudolph 15 yard pass from Sam Bradford (Jerick McKinnon run),16,10
5,4.0,13:14,Vikings,Blair Walsh 28 yard field goal,19,10
6,4.0,5:07,Vikings,Blair Walsh 31 yard field goal,22,10
