,Quarter,Time,Tm,Detail,MIN,BUF
0,1.0,1:50,Vikings,Blair Walsh 40 yard field goal,3,0
1,2.0,9:23,Bills,Sammy Watkins 26 yard pass from Kyle Orton (Dan Carpenter kick),3,7
2,2.0,6:17,Vikings,Cordarrelle Patterson 4 yard pass from Teddy Bridgewater (Blair Walsh kick),10,7
3,2.0,4:01,Bills,Dan Carpenter 31 yard field goal,10,10
4,2.0,0:15,Vikings,Blair Walsh 55 yard field goal,13,10
5,4.0,11:45,Vikings,Blair Walsh 33 yard field goal,16,10
6,4.0,0:01,Bills,Sammy Watkins 2 yard pass from Kyle Orton (Dan Carpenter kick),16,17
